# Universe: US-listed clinical-stage biotech, market cap < $5B focus. Post-triage: 131 companies (5 removed). ctgov_sponsor_aliases = pipe-separated CT.gov search names.
ticker,name,exchange,market_cap_bucket,primary_indication,ctgov_sponsor_aliases,notes
KROS,Keros Therapeutics,NASDAQ,small,Rare,,Hematology rare
MLTX,MoonLake Immunotherapeutics,NASDAQ,small,Autoimmune,,HS hidradenitis
MREO,Mereo BioPharma,NASDAQ,micro,Rare,,Rare genetic
NVCR,NovoCure,NASDAQ,mid,Oncology,,Tumor treating fields
PCVX,Vaxcyte,NASDAQ,mid,Infectious,"Vaxcyte, Inc.|Vaxcyte Inc",Conjugate vaccines
RIGL,Rigel Pharmaceuticals,NASDAQ,small,Rare/Autoimmune,,Immunology
RYTM,Rhythm Pharmaceuticals,NASDAQ,small,Rare,,Obesity genetic
SANA,Sana Biotechnology,NASDAQ,small,Rare/Oncology,,Cell therapy platform
SIGA,SIGA Technologies,NASDAQ,small,Infectious,,Orthopox antiviral
TARA,Protara Therapeutics,NASDAQ,micro,Rare,,Lymphatic disorders
TRML,Tourmaline Bio,NASDAQ,small,Cardiology,,VERIFY
VCEL,Vericel,NASDAQ,small,Other,,Cell therapy burns/ortho
AUPH,Aurinia Pharmaceuticals,NASDAQ,small,Autoimmune,,Lupus nephritis
CNCE,Concert Pharmaceuticals,NASDAQ,micro,Autoimmune,,VERIFY acquired
IMUX,Immunic,NASDAQ,small,Autoimmune,,MS/IBD
MNPR,Monopar Therapeutics,NASDAQ,micro,Oncology,,VERIFY
RAPT,RAPT Therapeutics,NASDAQ,small,Autoimmune,,Inflammation
VERA,Vera Therapeutics,NASDAQ,small,Autoimmune,,IgA nephropathy
XBIT,XBiotech,NASDAQ,micro,Oncology,,VERIFY
ZYME,Zymeworks,NASDAQ,small,Oncology,,Bispecific platform
APGE,Apogee Therapeutics,NASDAQ,small,Autoimmune,,Atopic dermatitis
CELC,Celcuity,NASDAQ,small,Oncology,,VERIFY
DMAC,DiaMedica Therapeutics,NASDAQ,micro,Metabolic,,VERIFY
GBIO,Generation Bio,NASDAQ,small,Rare,"Generation Bio Co.|Generation Bio Company|Generation Bio, Inc.",Gene therapy platform
IBRX,ImmunityBio,NASDAQ,small,Oncology,"ImmunityBio, Inc.|ImmunityBio Inc|NantKwest, Inc.",Immunotherapy
LEGN,Legend Biotech,NASDAQ,mid,Oncology,,CAR-T
MIRM,Mirum Pharmaceuticals,NASDAQ,small,Rare,,Liver rare
VIR,Vir Biotechnology,NASDAQ,small,Infectious,,Hepatitis/viral
AKRO,Akero Therapeutics,NASDAQ,small,Metabolic,,NASH/MASH
AMLX,Amylyx Pharmaceuticals,NASDAQ,small,Neuroscience,,ALS
CVAC,CureVac,NASDAQ,small,Infectious,,mRNA vaccines
ESPR,Esperion Therapeutics,NASDAQ,small,Cardiovascular,,LDL cholesterol
LXRX,Lexicon Pharmaceuticals,NASDAQ,small,Metabolic,,Diabetes
MTVA,MetaVia,NASDAQ,micro,Metabolic,,UNKNOWN_VERIFY_MANUALLY
VKTX,Viking Therapeutics,NASDAQ,mid,Metabolic,,Obesity/NASH
VYND,Vyant Bio,NASDAQ,micro,Oncology,,UNKNOWN_VERIFY_MANUALLY
WVE,Wave Life Sciences,NASDAQ,small,Rare/Neuro,,RNA editing
XFOR,X4 Pharmaceuticals,NASDAQ,small,Rare,,WHIM syndrome
ARDX,Ardelyx,NASDAQ,small,Metabolic,,GI/renal
NGM,NGM Biopharmaceuticals,NASDAQ,small,Metabolic,,Cardiometabolic
PRQR,ProQR Therapeutics,NASDAQ,small,Rare,,RNA ophthalmology
TNGX,Tango Therapeutics,NASDAQ,small,Oncology,,Synthetic lethality
ALT,Altimmune,NASDAQ,small,Infectious/Metabolic,,Obesity/hep B
CRVS,Corvus Pharmaceuticals,NASDAQ,small,Oncology,,Adenosine pathway
MRKR,Marker Therapeutics,NASDAQ,micro,Oncology,,T cell therapy
VSTM,Verastem Oncology,NASDAQ,micro,Oncology,,RAF/FAK
XBIO,Xenetic Biosciences,NASDAQ,micro,Oncology,"Xenetic Biosciences, Inc.|Xenetic Biosciences Inc",VERIFY
HOOK,HOOKIPA Pharma,NASDAQ,micro,Infectious/Oncology,,Viral immunotherapy
BNTX,BioNTech,NASDAQ,mid,Infectious/Oncology,,mRNA oncology
OMER,Omeros Corporation,NASDAQ,small,Other,,Complement ophthalmology
LQDA,Liquidia Corporation,NASDAQ,small,Other,"Liquidia Corporation|Liquidia Technologies, Inc.|Liquidia Technologies Inc",Pulmonary hypertension
KALV,KalVista Pharmaceuticals,NASDAQ,small,Other,,HAE angioedema
EYEN,Eyenovia,NASDAQ,micro,Ophthalmology,,VERIFY
HYFT,MindWalk Holdings,NASDAQ,micro,Other,,UNKNOWN_VERIFY_MANUALLY
SPRO,Spero Therapeutics,NASDAQ,micro,Infectious,,Antibiotics
URGN,UroGen Pharma,NASDAQ,small,Oncology,,Urothelial cancer
CADL,Candel Therapeutics,NASDAQ,small,Oncology,,Oncolytic virus
